segment,week,purchasesTotalYTD,itemsTotalYTD,dollarsTotalYTD,purchasesCoreYTD,itemsCoreYTD,dollarsCoreYTD,purchasesExtraYTD,itemsExtraYTD,dollarsExtraYTD,purchasesTotalWeek,itemsTotalWeek,dollarsTotalWeek,purchasesCoreWeek,itemsCoreWeek,dollarsCoreWeek,purchasesExtraWeek,itemsExtraWeek,dollarsExtraWeek
New,11,16152,27305,397002,13735,21279,62241,437,500,1344,1969,2090,29273,1523,1580,4142,13,13,26
New,12,16880,29491,428757,14372,22969,67128,447,514,1372,2060,2185,31755,1630,1690,4887,13,14,28
New,13,17634,31906,464516,15041,24869,73079,459,527,1400,2270,2415,35759,1824,1900,5952,14,14,30
New,14,18546,34993,512241,15820,27211,80311,474,546,1441,2857,3088,47725,2228,2342,7232,18,19,41
New,15,19075,36907,539591,16280,28655,84127,500,577,1535,1811,1914,27350,1399,1445,3816,30,31,94
New,16,19724,39343,576504,16871,30587,89854,548,631,1700,2292,2435,36913,1860,1932,5728,53,55,166
New,17,20492,42331,623159,17594,33045,98065,613,706,1918,2801,2988,46654,2355,2458,8210,73,75,218
New,18,21959,48002,718937,19064,37954,114174,775,896,2451,5196,5671,95777,4603,4909,16109,180,190,532
New,19,22468,50295,751423,19529,39753,118643,798,926,2522,2160,2293,32486,1732,1799,4470,30,31,71
New,20,22931,52583,782645,19963,41590,123464,807,940,2552,2152,2288,31223,1764,1837,4820,13,13,30
New,21,23370,54861,814451,20373,43423,128460,815,950,2573,2143,2278,31807,1760,1833,4996,10,11,22
New,22,23791,57145,846425,20772,45282,133717,822,960,2606,2156,2283,31973,1787,1858,5257,10,10,33
New,23,24237,59693,881963,21198,47375,139663,830,970,2633,2390,2548,35538,2005,2093,5946,10,11,26
New,24,24907,63673,934194,21890,50870,150005,840,984,2670,3698,3981,52230,3308,3495,10342,13,14,38
New,25,25237,65717,960433,22194,52475,153636,848,995,2696,1922,2044,26240,1544,1606,3632,11,11,26
New,26,25513,67586,984948,22441,53930,157123,856,1006,2725,1763,1869,24514,1404,1454,3487,11,12,29
New,27,25789,69407,1015437,22668,55283,160377,948,1121,3277,1719,1821,30488,1312,1354,3254,113,116,552
New,28,26066,71349,1045819,22901,56724,163794,1046,1252,3689,1819,1942,30383,1389,1441,3416,124,131,412
New,29,26330,73203,1072304,23125,58111,167018,1104,1327,3865,1743,1854,26485,1339,1387,3225,74,76,176
New,30,26594,75194,1100224,23351,59621,170711,1165,1407,4031,1874,1991,27921,1458,1510,3693,77,79,167
New,31,26869,77351,1130565,23592,61276,174916,1226,1489,4200,2025,2157,30341,1595,1654,4205,81,83,169
New,32,27124,79363,1155469,23788,62595,178141,1276,1554,4338,1891,2012,24904,1280,1319,3225,65,66,138
New,33,27378,81413,1184343,24015,64169,182111,1329,1626,4484,1922,2050,28875,1511,1574,3971,69,71,146
New,34,27623,83375,1212044,24233,65671,185851,1381,1695,4627,1850,1962,27701,1450,1502,3740,68,68,143
New,35,27848,85301,1239529,24434,67152,189648,1428,1761,4762,1816,1927,27485,1428,1481,3797,65,67,135
New,36,28068,87191,1266687,24633,68598,193297,1476,1829,4904,1789,1890,27158,1400,1446,3649,66,68,142
New,37,28301,89211,1296381,24845,70140,197054,1530,1904,5058,1902,2020,29694,1486,1541,3758,74,75,154
New,38,28522,91197,1326138,25044,71649,200793,1586,1983,5218,1875,1986,29757,1459,1509,3739,77,79,160
New,39,28744,93293,1361004,25239,73203,204798,1672,2134,5616,1974,2096,34866,1502,1554,4005,146,152,398
New,40,28967,95376,1394646,25433,74758,208768,1762,2282,5949,1963,2083,33642,1500,1554,3970,142,148,333
New,41,29203,97576,1429016,25641,76405,212733,1850,2408,6215,2068,2201,34370,1585,1647,3965,123,126,266
New,42,29415,99571,1460961,25818,77845,216203,1937,2531,6499,1877,1994,31946,1392,1441,3470,121,123,284
New,43,29616,101559,1492800,25984,79243,219592,2026,2655,6768,1870,1988,31839,1350,1399,3389,122,124,268
New,44,29868,103915,1543532,26202,80937,224410,2195,2911,7373,2206,2356,50733,1632,1694,4818,248,256,606
New,45,30145,106324,1594150,26439,82663,229329,2373,3172,7948,2253,2409,50617,1661,1726,4919,252,261,574
New,46,30423,108819,1646788,26664,84407,234380,2571,3443,8516,2331,2495,52637,1674,1743,5051,265,273,569
New,47,30737,111387,1708484,26882,86013,239266,2854,3831,9337,2396,2568,61698,1547,1607,4887,375,387,821
New,48,31124,114838,1793532,27173,88279,247035,3232,4354,10405,3176,3452,85048,2160,2266,7768,504,523,1068
New,49,31575,118901,1891275,27510,90905,256032,3635,4918,11524,3701,4063,97748,2481,2625,8997,542,563,1118
New,50,32084,123767,2004112,27889,93935,265903,4047,5518,12651,4363,4867,112838,2836,3030,9871,575,600,1129
New,51,32497,127872,2094804,28181,96318,272871,4359,5983,13492,3682,4105,90695,2237,2383,6968,446,465,840
New,52,32671,130179,2148412,28293,97466,275739,4602,6491,14999,2052,2307,53620,1104,1149,2870,451,508,1508
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
